id;customer_id;status;number;note;due_date;subtotal;amount;client_id;created_by;created_date;last_modified_by;last_modified_date
1;1;SENT;33902;cross-media;2019-09-15T04:02:58;84666;89711;1;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
2;1;APPROVED;78534;New Zealand Dollar Alabama transform;2019-09-14T22:54:33;66350;97366;1;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
3;1;SENT;69189;invoice Devolved;2019-09-15T04:22:48;1807;23724;3;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
4;1;DRAFT;30806;Benin Berkshire;2019-09-15T06:12:01;26520;25046;3;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
5;1;PARTIAL;79481;Borders North Dakota;2019-09-15T09:39:07;86416;19524;1;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
6;1;DRAFT;76855;Intelligent Frozen Sausages Villages;2019-09-15T14:45:46;91486;88349;1;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
7;1;VIEWED;96665;Strategist SDD;2019-09-15T14:24:20;30569;38509;1;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
8;1;DRAFT;37268;matrix calculating;2019-09-14T23:09:07;57006;7041;1;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
9;1;OVERDUE;87737;program;2019-09-15T04:44:38;13662;70248;1;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
10;1;PARTIAL;518;Auto Loan Account olive;2019-09-15T19:46:11;70196;39678;1;system;2019-09-15T04:44:38;system;2019-09-15T04:44:38
